zoningdistrict2edm,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,count
,M1-1,C8-3,,,2
,R6A,M1-4/R6A,,,2
,R6,R5,R7A,,1
,R7X,R7-2,,,2
,C8-2,R7-1,R5,,1
,C6-5,C6-7T,,,2
,M1-2,M1-2/R6B,,,1
,M1-2/R6A,M1-2,,,5
,C3A,R4A,,,1
,C5-2.5,R10H,,,1
,M1-2,R5,,,2
,C4-2A,C4-3,,,5
,R4A,R3-1,,,14
,C3,M2-1,,,3
,R6B,R3X,,,25
,R7-1,R5A,,,25
,C6-4,C6-2A,R8B,,1
,R7D,R7A,R7B,,1
,R4A,R4-1,R5B,,1
,C6-1,C6-1G,,,2
,M3-1,R3A,,,3
,M1-1,R6B,C4-5D,,1
,M2-1,C3,,,2
,R7D,R5D,R5B,,1
,C4-4,R6,,,7
,M1-1,R8,,,3
,C1-9A,R6B,,,1
,C6-3,M1-4,,,3
,C8-1,R3-2,R3-1,,2
,R5D,R7A,,,7
,C2-6,R6,,,29
,M1-2,M3-1,C4-2,,1
,R7-2,C4-4,,,10
,M1-4D,M1-4,,,2
,M1-2/R5B,R5,,,2
,M1-1,R3A,,,5
,C1-8X,R10A,,,1
,R4-1,R6,R2,,1
,R6,C5-2A,,,3
,R3-1,C3,,,2
,R6A,R7D,R6B,,1
,R7A,R5B,C4-4A,,1
,R5A,C8-1,,,15
,R8B,R7A,,,64
,C5-2,R8B,,,3
,C1-7,C6-2,,,1
,M1-2/R5B,M1-2/R5D,,,5
,R8B,C1-8X,,,40
,R10A,C1-9,,,6
,R7B,R7A,R6B,,1
,C6-4A,C6-4,M1-5M,,1
,C6-1,C6-4M,,,1
R1-1,PARK,,,,1
,R9A,R8A,R7B,,1
,M1-6,R6,,,1
,R3-1,R4,R7-1,R7B,1
,R6A,R2,,,20
,C5-2.5,C5-3,,,32
,R7-2,C4-4,C8-3,,1
,R2,R2A,,,25
,C4-4D,R8A,,,1
,R3A,R6A,,,4
,R5D,R3-2,,,16
,C4-6A,R9,,,1
,R4B,R8B,,,2
,R5D,R4B,,,13
,R3X,R2,,,52
,R5,R6B,,,187
,C6-4A,R9A,,,3
,C6-6,C6-4,,,4
,C6-2A,C6-2M,,,3
,C4-5X,C6-2,,,7
C4-1,R3-2,,,,7
,C5-3,C6-4,,,3
,M1-1,M1-4,,,3
,R5,R2A,,,1
,R2,R4,R5,,1
,R5B,R4B,,,31
,R5B,R4-1,,,297
,R7A,C8-1,,,2
,R4,R1-2,,,8
,R5B,R7D,,,19
,M2-1,C4-4,,,2
,M2-1,C8-1,M1-1,,1
,C8-1,M1-1,R5,,1
,C4-2,M1-1,,,1
,C4-3A,R5B,,,1
,R10,R10A,,,3
,R2X,R6A,,,4
,M1-1,R2A,R3-2,,1
R3-2,R3A,,,,35
,R6,C6-4,,,3
,C3,R5D,,,1
,R3-1,M1-1,R5,,1
,R8A,R6B,,,62
,C1-9A,R8B,,,7
,R5B,R4-1,R6A,,1
,C6-3,C4-7,,,1
,C3,R5,,,1
,C2-8A,R8B,C2-8,,1
,M1-2,M3-1,,,9
,R6A,R7D,,,9
,C8-2,R5B,R5,,1
R3-2,C3A,,,,1
,R7-1,C4-4,R8,,1
,C5-2,C6-4A,,,2
,C2-8A,C1-9A,,,1
,R7A,R4,,,25
,R6,R3-1,,,5
,C6-2,C1-7,R6,,1
,C5-3,C6-1,,,1
,R4A,R4,,,87
,M1-6,C5-3,,,8
PARK,M3-1,,,,1
,R4-1,M1-4D,,,1
,C4-4,R5,,,1
,R6B,R5D,,,9
,R10,R8B,,,158
,R3A,C8-1,,,18
,R1-1,R1-2,,,21
,C6-4,C6-6,,,9
,R5D,R2A,,,8
,R6,M1-6,,,4
R3-1,R3A,,,,2
,C4-2,C4-3,,,15
M1-1,PARK,,,,2
,C6-3A,C6-2A,,,9
,C5-2,C6-6,,,2
,C4-3,R7-1,,,6
,R3X,R4B,,,18
,R8B,C1-9,R9X,,1
,M1-4,R10,,,1
,R7B,R8B,,,13
,C8-4,R8,,,3
,R7-1,R6,,,98
,C6-2A,R8A,R8B,,1
,C4-4A,R6,,,5
,R6A,R3-1,R3X,,1
,R4A,R4,R2,,1
R3-1,R3X,,,,35
,R7-2,C3,R8,,1
,C5-2.5,C6-6,,,1
,M1-2/R8,M1-2/R8A,,,1
,C4-2,C8-2,,,3
,R8B,C6-2A,,,21
,R2,R4-1,,,10
,R4,R7A,,,31
,C5-2,C5-2.5,,,2
,C1-8A,R7B,,,1
M1-1,M3-1,,,,1
,C6-1,R7-2,,,1
,M1-2,M1-2/R6A,,,1
,R7-2,R6,,,25
,R7A,R7B,,,75
,R6A,C4-4A,,,19
,C6-7T,C6-5,,,6
,R2,R3-1,,,26
,R4A,R5,,,29
,R8B,R6A,,,1
,C1-9A,R8A,R9A,R8B,1
,R7-3,C4-3,,,3
,R3-1,R3A,,,68
,R8B,R6,,,1
,C1-7,C1-6A,,,3
,R4A,R5D,,,34
,R7B,R8X,,,3
,M1-2/R5D,M1-2/R6A,,,3
,R2A,M1-1,,,1
,R7X,M1-1,,,1
,R4-1,R6A,,,77
,R6A,R5,,,352
,C8-1,R5B,,,4
,R6A,C4-4L,,,3
,R3-2,R3-1,R2A,,1
,C1-9A,R9A,,,1
,R8X,R7B,,,6
,R4A,R4-1,,,63
,C6-1,C6-2,,,15
,M1-6D,M1-6,,,2
,R8,C6-4,R7-1,,1
,M1-4/R6B,M3-2,,,1
,C1-9,C1-9A,R8,,1
,M1-4/R8A,M1-4/R7A,,,1
,R8A,C1-8,,,1
,C6-2M,C6-2A,,,1
,R3-2,R3A,R6,,1
,R5D,R4-1,R4A,,1
,R10,R8,C2-8,,1
,R4B,M1-2,,,2
,R6,C6-2,,,4
R3-1,R3-2,,,,15
,C6-2A,M1-6D,,,2
,M1-4D,R6B,,,2
,R7B,R5B,,,54
,R8B,R10A,C1-9,,1
,M1-1,C4-2,C4-2A,,2
,C6-4A,M1-5M,C6-4,,1
M2-1,M3-1,,,,3
,R5B,C4-3,,,1
,R5D,R6B,,,8
,M1-1,C8-1,C4-2,,1
,R3-2,R4A,,,40
,C6-2A,C5-4,,,2
,R7A,R2,R4,,1
,C8-3,C4-4,,,1
,C1-7A,R8A,,,4
,R5,M1-4,,,1
,R6,C2-6,C1-6,,1
,R6A,R7X,,,13
,C4-2,R7-1,,,2
,R5D,R5,,,66
,C2-6,R7-2,,,4
,R6B,M3-1,,,2
,R5B,R8A,,,14
,R8,R9,,,1
,R2,R3-1,R3-2,,1
,R5,R3A,,,8
,R6,C4-4,,,5
C3,C4-2,C8-1,,,1
,R3-1,R4,,,6
,C2-7A,R8B,,,9
,R2,R3X,,,57
,R6,R7B,,,3
,R8B,C1-9A,,,2
,R7B,R7-2,,,11
,R5A,R7A,,,9
,M1-2/R6A,R6B,,,20
R5,R3-1,,,,3
,C5-P,C6-6,,,3
,C4-4A,R7A,R6B,,1
,R1-2,R3A,,,1
,C8-1,M1-1,R5B,,1
,C6-3A,C6-2,,,1
,R8B,R4B,,,1
,R6A,C4-3A,,,5
,R3-1,R2,R3X,,2
,M1-2/R6B,M1-1,,,2
,R7B,C6-4A,,,6
C3A,R3-2,,,,3
R3-2,R1-2,,,,5
,M1-4,R6A,,,115
R2,C4-1,R3-1,,,1
,R7A,C4-4A,,,26
R3A,C4-2,,,,4
,C1-6,C2-6,,,3
,M1-4/R6A,M1-4/R6B,,,1
,R6,M1-5,,,1
,M1-1,R7-2,,,2
,R4A,C4-4,,,1
,C7,R6,,,3
,R6A,R5D,,,15
,R8,R6A,,,4
,C8-1,R7-1,,,48
,M1-4/R7A,R5,R6A,,1
,C4-2A,R6B,,,21
R5,R3X,,,,18
,R7X,R7A,,,8
,R6B,C4-3,,,120
,M1-2/R6B,M1-2/R6A,,,9
R1-2,R2,,,,6
,R6B,M1-2,,,8
,R7-2,C1-6A,,,1
,C6-2,M1-1,R7-1,,1
R3-1,R2,,,,32
,R4,R6B,R5,,1
,R8,R8A,,,1
,C5-5,C6-4,,,3
,C8-3,R8,,,6
,M1-1,R3-2,,,33
,R6B,M1-4,R7A,,3
,C4-5D,M1-1,,,2
,M3-1,C4-2,,,2
,C4-2,R5,,,36
,M3-1,M1-4/R8A,,,1
,R3-1,C3A,,,9
,R4A,R6A,,,75
,R8B,R10A,,,34
,R8,R10A,,,13
,C1-6A,C1-7A,,,3
,R4-1,R2,,,13
,R6B,C4-2A,,,4
,R1-2,R4-1,,,1
,R8B,R5B,,,6
,C2-8,R7B,,,2
,C6-4,C5-3,,,2
,R4B,R4-1,,,41
R2,R3-1,,,,20
,M1-4/R7X,M1-2,,,1
,C6-3D,R8,,,5
,M1-2/R6A,M1-2/R6,,,6
,R6,M1-2/R6,,,2
,R3A,R2,,,13
,C4-4A,C6-2A,,,7
,R7B,R9A,R7-2,,1
,R3A,R4,R7A,,1
,R5D,R6A,R5B,,1
,R5B,R5,,,13
,R4B,M1-1,,,29
,C5-2.5,C5-2,,,4
,C6-2A,C6-2,,,1
,M1-1/R7-2,M1-1,,,11
,R4,R4B,,,28
,C6-2,C1-7,,,1
,R7B,R6A,,,3
,R4,R6,,,58
,C8-1,M1-1,,,6
,R6,C6-2A,,,3
,R8,C8-2,,,5
,C2-6,R6,C1-6,,1
,R7B,R4-1,,,33
,R2A,R2,,,55
,R5A,R5B,,,12
,R4-1,R5D,,,104
,C4-2A,R5B,,,19
,C6-4M,M1-6,,,2
,R5,R2X,,,15
,C4-4A,M1-5,,,1
,C6-4M,C6-4A,,,14
,C4-6A,R8B,,,19
,R5,R3-2,,,18
,R7X,R5B,,,7
,M1-2/R6A,M1-2/R6B,,,18
R3A,C8-1,,,,2
,R2A,R1-2A,,,2
,R10A,R10,,,2
,C4-4A,R7A,R5B,,1
M1-1,PARKNYS,,,,10
M3-1,R3X,,,,2
,R7A,R4-1,R5B,,1
,C5-3,C5-P,,,3
,R5D,R6,R6B,,1
,R6,C7,,,1
,R1-2,R3X,R2,R4-1,1
,M1-5B,M1-5A,,,7
,M3-1,M1-2/R6,,,4
,R10,C6-1,,,2
,R6,M1-2,,,13
,C1-9,R10A,,,4
,C5-2,C5-3,,,6
,C8-3,M1-1,C4-5X,,1
,R4,R3-2,,,35
,M1-4,M1-4D,,,1
,R5D,R4A,,,27
,R10,R7-2,,,6
,C6-2A,R8B,,,37
,R7A,R6,,,20
,R7B,R5,R7A,,1
,C2-8A,C2-8,,,1
,R6A,M1-1,,,18
PARK,R3-2,,,,3
